Country/Region,Suisse,Chine,France,Iran,Italie,Japon,Corée du Sud,Pays-Bas,Espagne,Royaume-Uni,Allemagne,Algeria
1er jour,1,17,1,2,1,1,1,1,1,1,2,1
2e jour,1,18,1,2,2,1,2,1,2,2,2,1
3e jour,1,26,1,4,3,1,2,3,3,2,3,3
4e jour,2,42,1,5,7,1,6,3,5,3,3,8
5e jour,2,56,1,8,10,1,8,4,10,4,7,13
6e jour,3,82,1,12,12,1,10,5,17,6,9,13
7e jour,4,131,1,16,17,1,12,5,28,8,11,20
8e jour,4,133,1,19,21,1,13,10,35,8,17,20
9e jour,11,171,1,26,29,1,13,12,54,8,24,26
10e jour,13,213,1,34,34,1,16,20,55,21,28,27
11e jour,14,259,1,43,52,1,17,24,133,21,44,37
12e jour,14,361,2,54,79,1,28,43,195,55,null,48
13e jour,27,425,2,66,107,1,28,58,289,55,null,54
14e jour,28,491,2,77,148,2,35,76,342,71,null,67
15e jour,43,563,2,92,197,4,35,null,533,137,null,75
16e jour,null,633,2,107,233,4,42,null,623,177,null,82
17e jour,null,718,3,124,366,5,44,null,831,233,null,94
18e jour,null,805,4,145,463,6,50,null,1093,281,null,139
19e jour,null,905,4,194,631,6,53,null,1381,335,null,201
20e jour,null,1012,6,237,827,6,54,null,1772,422,null,230
21e jour,null,1112,9,291,827,6,60,null,2311,463,null,264
22e jour,null,1117,11,354,1266,6,66,null,2991,578,null,
23e jour,null,1369,19,429,1441,6,66,null,3434,759,null,
24e jour,null,1521,19,514,1809,6,72,null,null,1019,null,
25e jour,null,1663,33,611,2158,6,75,null,null,1228,null,
26e jour,null,1766,48,724,2503,10,75,null,null,null,null,
27e jour,null,1864,48,853,2978,10,81,null,null,null,null,
28e jour,null,2003,79,988,3405,15,84,null,null,null,null,
29e jour,null,2116,91,1135,4032,16,91,null,null,null,null,
30e jour,null,2238,91,1284,4825,19,null,null,null,null,null,
31e jour,null,2238,148,null,5476,22,null,null,null,null,null,
32e jour,null,2443,148,null,6077,22,null,null,null,null,null,
34e jour,null,2445,148,null,6820,27,null,null,null,null,null,
35e jour,null,2595,243,null,null,29,null,null,null,null,null,
36e jour,null,2665,264,null,null,29,null,null,null,null,null,
37e jour,null,2717,372,null,null,29,null,null,null,null,null,
38e jour,null,2746,450,null,null,null,null,null,null,null,null,
39e jour,null,2790,562,null,null,null,null,null,null,null,null,
40e jour,null,2837,674,null,null,null,null,null,null,null,null,
41e jour,null,2872,860,null,null,null,null,null,null,null,null,
42e jour,null,2914,1100,null,null,null,null,null,null,null,null,
43e jour,null,2947,1331,null,null,null,null,null,null,null,null,
44e jour,null,2983,1696,null,null,null,null,null,null,null,null,
45e jour,null,3015,1995,null,null,null,null,null,null,null,null,
46e jour,null,3044,2314,null,null,null,null,null,null,null,null,
47e jour,null,3072,2606,null,null,null,null,null,null,null,null,
48e jour,null,3100,null,null,null,null,null,null,null,null,null,
50e jour,null,3123,null,null,null,null,null,null,null,null,null,
51e jour,null,3139,null,null,null,null,null,null,null,null,null,
52e jour,null,3161,null,null,null,null,null,null,null,null,null,
53e jour,null,3172,null,null,null,null,null,null,null,null,null,
54e jour,null,3180,null,null,null,null,null,null,null,null,null,
55e jour,null,3193,null,null,null,null,null,null,null,null,null,
56e jour,null,3203,null,null,null,null,null,null,null,null,null,
57e jour,null,3217,null,null,null,null,null,null,null,null,null,
58e jour,null,3230,null,null,null,null,null,null,null,null,null,
59e jour,null,3241,null,null,null,null,null,null,null,null,null,
60e jour,null,3249,null,null,null,null,null,null,null,null,null,